# char <TAB> keywords
#
# Transcribed from the Texpand backup of 2026-08-18, which is where
# these lived on Android. Grouped by theme rather than one file per
# shortcut; the popup addresses this file by the sigil in its name.

# ---- kaomoji and faces ----
# The /emo array, the ASCII faces, and the /eyes kit -- paste a
# pair and arrow back between them to build a face.

(◠‿◠✿)	FLOWER SMILE HAPPY
(◡‿◡✿)	FLOWER SMILE CLOSED EYES
(ꈍ ᴗ ꈍ✿)	FLOWER CONTENT SOFT
(*ΦωΦ*)	CAT FACE PHI
(.❛ ᴗ ❛.)	CUTE SMILE SOFT
♡ ～('▽^人)	LOVE SHY WAVE HEART
(◕︿◕✿	FLOWER SAD WORRIED UPSET
(￣▽￣)/♫•*¨*•.¸¸♪	SINGING MUSIC HAPPY NOTES
w(°ｏ°)w	SHOCK SURPRISE ALARM
(◐ω◑)	QUIRKY ODD EYES
( ꩜ ᯅ ꩜;)⁭ ⁭	NERVOUS SWEAT WORRIED
𓁹‿𓁹	HORUS EYES SMILE ANCIENT
(͡o‿ó)	SMIRK SLY KNOWING
(¬⊘‿⊘)	SLY SNEAKY SMUG
٭(•﹏•)٭	WORRIED FRETTING SMALL
◕⩊◕	HAPPY SIMPLE GRIN
(￣▽￣*)ゞ	SALUTE SHEEPISH SORRY
｡ﾟ( ﾟஇ▽இﾟ)ﾟ｡	CRYING SOBBING TEARS WAIL
┬┴┬┴┤ (･_├┬┴┬┴	PEEKING HIDING WALL LURK
(ﾉ◕ヮ◕)ﾉ*:･ﾟ✧	SPARKLE EXCITED THROW TADA
(ﾉ>ω<)ﾉ :｡･:*:･ﾟ’★	SPARKLE STAR EXCITED THROW
(๑˃ᴗ˂)ﻭ	CHEER FIGHT GANBARE EFFORT
(⩌⩊⩌)	GRIN WIDE PLEASED
(ᗒᗣᗕ)՞	CRYING UPSET DISTRESS
ヽ(♡‿♡)ノ	LOVE HEART EYES CHEER
♡( ◡‿◡ )	LOVE CONTENT HEART
|▽//)ゝ	BLUSH SHY EMBARRASSED
╮(︶▽︶)╭	SHRUG DUNNO WHATEVER
¯\_(ツ)_/¯	SHRUG LOLSUP SUP SON WHATEVER
ヽ(￣～￣　)ノ	SHRUG WHATEVER MEH
(ᵕ̣̣̣̣̣̣//ω//ᵕ̣̣̣̣̣̣)	BLUSH FLUSTERED WARM
(・・;)ゞ	SWEAT AWKWARD NERVOUS
(↼_↼)	SIDE EYE SUSPICIOUS SUS
｡ﾟ･ (>﹏<) ･ﾟ｡	CRYING SOBBING SAD
~(˘▽˘~)	DANCE HAPPY SWAY
(o̲ . o̲)	BLANK STARE VOID EMPTY
(O͓‿O͓)	WIDE EYES STARE SHOCK
(o҉  _  o҉)	GLITCH STARE CORRUPT DEAD
-(๑☆ ‿ ☆#)ᕗ	STAR EYES EXCITED HYPE
ᵒᵏ	OK TINY SUPERSCRIPT
(0̲‿0̲)	SMILE PLAIN SOFT
ᵗʰᵃⁿᵏ ᵘ °^ ᵕ ^° ʸʷ	THANK YOU WELCOME TINY YW
® ꒢°	REGISTERED TINY ODD
٩(◕‿◕｡)۶	CHEER HAPPY ARMS UP
× ⌒ ×	DEAD X EYES CROSS
(⌐■_■)	DEAL WITH IT SUNGLASSES COOL
／(･ × ･)＼	BUNNY RABBIT FACE
(=^･ｪ･^=)	CAT FACE WHISKERS NYA
__〆(￣ー￣ )	WRITING NOTE TAKING NOTES
:3	SMILE 3 CUTE COLON THREE
:D	GRIN LAUGH BIG SMILE D
:>	SMIRK GREATER SMUG
:P	TONGUE CHEEKY P
:<	FROWN SAD LESS
:^)	WRY SMILE CARET PAREN
D:	DISMAY UPSET REVERSE
;3	WINK 3 CUTE
;>	WINK SMIRK
;<	WINK SAD
>.<	ANGRY FRUSTRATED SQUINT
>_<	ANGRY SQUINT UNDERSCORE
><	SQUINT SMALL ANGRY
^^;	SWEAT AWKWARD CARET
^_^	HAPPY CARET SMILE
^__^	HAPPY CARET WIDE
^___^	HAPPY CARET WIDEST
◕◕	EYES KIT FACE MAKER ROUND BLACK
^^	EYES KIT FACE MAKER CARET
￣￣	EYES KIT FACE MAKER FULLWIDTH MACRON
𝆓𝆒	EYES KIT FACE MAKER MUSICAL
〜〜	EYES KIT FACE MAKER TILDE WAVE
＾＾	EYES KIT FACE MAKER FULLWIDTH CARET
𖦹𖦹	EYES KIT FACE MAKER STAR SPARKLE
❂❂	EYES KIT FACE MAKER SUN CIRCLED
✪✪	EYES KIT FACE MAKER SPARKLE CIRCLED
˘˘	EYES KIT FACE MAKER BREVE SOFT
𝄈	EYES KIT FACE MAKER MUSICAL SINGLE
