# char <TAB> keywords
#
# Transcribed from the Texpand backup of 2026-08-18, which is where
# these lived on Android. Grouped by theme rather than one file per
# shortcut; the popup addresses this file by the sigil in its name.

# ---- space ----
# Rockets, satellites, the earth from all three angles, the whole
# moon cycle, and the astronomical symbols for the planets.

🚀	SPACE ROCKET
🛰	SPACE SATELLITE SATELLITE ORBIT
🛸	SPACE FLYING SAUCER UFO SAUCER ABDUCTION
👽	SPACE EXTRATERRESTRIAL ALIEN
👾	SPACE ALIEN MONSTER
🔭	SPACE TELESCOPE TELESCOPE OBSERVATORY STARGAZING
🌌	SPACE MILKY WAY GALAXY MILKYWAY NIGHT SKY
🌠	SPACE SHOOTING STAR SHOOTING FALLING WISH
☄	SPACE COMET COMET METEOR
🪐	SPACE RINGED PLANET SATURN RINGS PLANET
🌍	SPACE EARTH GLOBE EUROPE-AFRICA
🌎	SPACE EARTH GLOBE AMERICAS
🌏	SPACE EARTH GLOBE ASIA-AUSTRALIA
🌐	SPACE GLOBE WITH MERIDIANS GLOBE MERIDIANS WORLD INTERNET
🌑	SPACE NEW MOON SYMBOL
🌒	SPACE WAXING CRESCENT MOON SYMBOL
🌓	SPACE FIRST QUARTER MOON SYMBOL
🌔	SPACE WAXING GIBBOUS MOON SYMBOL
🌕	SPACE FULL MOON SYMBOL
🌖	SPACE WANING GIBBOUS MOON SYMBOL
🌗	SPACE LAST QUARTER MOON SYMBOL
🌘	SPACE WANING CRESCENT MOON SYMBOL
🌙	SPACE CRESCENT MOON
🌚	SPACE NEW MOON WITH FACE
🌛	SPACE FIRST QUARTER MOON WITH FACE
🌜	SPACE LAST QUARTER MOON WITH FACE
🌝	SPACE FULL MOON WITH FACE
🌞	SPACE SUN WITH FACE
☀	SPACE BLACK SUN WITH RAYS
⭐	SPACE WHITE MEDIUM STAR
🌟	SPACE GLOWING STAR
✨	SPACE SPARKLES
💫	SPACE DIZZY SYMBOL DIZZY SPIN SPARKLE
🌃	SPACE NIGHT WITH STARS NIGHT CITY SKYLINE STARS
🧑‍🚀	SPACE ASTRONAUT PERSON
👨‍🚀	SPACE ASTRONAUT MAN
👩‍🚀	SPACE ASTRONAUT WOMAN
☉	SPACE PLANET SYMBOL ASTRONOMICAL SUN
☽	SPACE PLANET SYMBOL ASTRONOMICAL FIRST QUARTER MOON
☿	SPACE PLANET SYMBOL ASTRONOMICAL MERCURY
♀	SPACE PLANET SYMBOL ASTRONOMICAL FEMALE SIGN
♁	SPACE PLANET SYMBOL ASTRONOMICAL EARTH
♂	SPACE PLANET SYMBOL ASTRONOMICAL MALE SIGN
♃	SPACE PLANET SYMBOL ASTRONOMICAL JUPITER
♄	SPACE PLANET SYMBOL ASTRONOMICAL SATURN
♅	SPACE PLANET SYMBOL ASTRONOMICAL URANUS
♆	SPACE PLANET SYMBOL ASTRONOMICAL NEPTUNE
♇	SPACE PLANET SYMBOL ASTRONOMICAL PLUTO
