# char <TAB> keywords
#
# Transcribed from the Texpand backup of 2026-08-18, which is where
# these lived on Android. Grouped by theme rather than one file per
# shortcut; the popup addresses this file by the sigil in its name.

# ---- hearts ----
# The <3 array.

♡	HEART WHITE SUIT LOVE OUTLINE
~*♡  ♡~*	HEART FRAME SPARKLE KIT
❦	HEART FLEURON AULD LOVE
🩷🩵🩷🩵🩷🩵	HEART PINK BLUE ALTERNATING TRANS
💛	HEART YELLOW
🥰🥰🥰	HEART SMILING FACES LOVE
😍	HEART EYES FACE LOVE
💜💜	HEART PURPLE DOUBLE
🖤🤍🖤🤍	HEART BLACK WHITE ALTERNATING
💜💙💚💛🧡❤️	HEART RAINBOW PRIDE
❤️🧡💛💚💙💜	HEART RAINBOW PRIDE REVERSE
❤️	HEART RED CLASSIC
💔	HEART BROKEN BREAK
❤️‍🔥	HEART FIRE BURNING
❤️‍🩹	HEART MENDING BANDAGE HEAL
💌	HEART LOVE LETTER ENVELOPE
〜♡	HEART WAVE TILDE SOFT

# ---- arrows ----
# The -> array.

→	ARROW RIGHTWARDS ARROW
←	ARROW LEFTWARDS ARROW
↓	ARROW DOWNWARDS ARROW
↑	ARROW UPWARDS ARROW
↘	ARROW SOUTH EAST ARROW
↙	ARROW SOUTH WEST ARROW
↝	ARROW RIGHTWARDS WAVE ARROW
⇝	ARROW RIGHTWARDS SQUIGGLE ARROW
⇢	ARROW RIGHTWARDS DASHED ARROW
⇠	ARROW LEFTWARDS DASHED ARROW
⇣	ARROW DOWNWARDS DASHED ARROW
⇶	ARROW THREE RIGHTWARDS ARROWS
⇒	ARROW RIGHTWARDS DOUBLE ARROW
⇔	ARROW LEFT RIGHT DOUBLE ARROW
⇎	ARROW LEFT RIGHT DOUBLE ARROW WITH STROKE
⇵	ARROW DOWNWARDS ARROW LEFTWARDS OF UPWARDS ARROW
⇌	ARROW RIGHTWARDS HARPOON OVER LEFTWARDS HARPOON
⇆	ARROW LEFTWARDS ARROW OVER RIGHTWARDS ARROW
↩	ARROW LEFTWARDS ARROW WITH HOOK
↬	ARROW RIGHTWARDS ARROW WITH LOOP
↻	ARROW CLOCKWISE OPEN CIRCLE ARROW
↯	ARROW DOWNWARDS ZIGZAG ARROW

# ---- music and notation ----
# The /mus array, plus the notation glyphs that were their own
# shortcuts. Several of these are U+1D1xx musical symbols, which
# fall back to whatever font owns them -- see CLAUDE.md on fallback.

𝄞 ♫♪♩♬	MUSIC
♪♫♬	MUSIC
𝄆𝄇	MUSIC
